,Market Crash (-30%),Severe Crash (-50%),Moderate Drawdown (-15%),Bull Shock (+20%),Volatility Spike
2021-06-02,-0.30693485252496755,-0.5069348525249676,-0.15693485252496758,0.19306514747503242,-0.01733713131241897
2021-06-03,-0.31970328563512823,-0.5197032856351282,-0.16970328563512824,0.18029671436487177,-0.049258214087820607
2021-06-04,-0.27373514647562447,-0.4737351464756245,-0.12373514647562447,0.22626485352437553,0.0656621338109388
2021-06-07,-0.2929710351290272,-0.49297103512902724,-0.14297103512902723,0.20702896487097278,0.017572412177431912
2021-06-08,-0.2984906266837997,-0.49849062668379973,-0.14849062668379973,0.20150937331620028,0.0037734332905006718
2021-06-09,-0.29935241857125516,-0.4993524185712551,-0.14935241857125514,0.20064758142874486,0.0016189535718621334
2021-06-10,-0.29064239864996133,-0.4906423986499614,-0.14064239864996136,0.20935760135003864,0.023394003375096575
2021-06-11,-0.29776480348503964,-0.4977648034850396,-0.14776480348503962,0.20223519651496039,0.005587991287400937
2021-06-14,-0.28741569173419107,-0.4874156917341911,-0.13741569173419108,0.21258430826580893,0.0314607706645223
2021-06-15,-0.3111311908081196,-0.5111311908081195,-0.16113119080811958,0.18886880919188043,-0.02782797702029896
2021-06-16,-0.29833392084547367,-0.4983339208454737,-0.14833392084547367,0.20166607915452633,0.004165197886315808
2021-06-17,-0.28724118114790675,-0.48724118114790677,-0.13724118114790676,0.21275881885209325,0.031897047130233086
2021-06-18,-0.30280041998109025,-0.5028004199810903,-0.15280041998109026,0.19719958001890975,-0.0070010499527256576
2021-06-21,-0.29261802088036953,-0.49261802088036954,-0.14261802088036954,0.20738197911963047,0.018454947799076138
2021-06-22,-0.29184773969572647,-0.4918477396957265,-0.14184773969572648,0.20815226030427353,0.020380650760683794
2021-06-23,-0.28863634677349137,-0.4886363467734914,-0.13863634677349138,0.21136365322650863,0.028409133066271547
2021-06-24,-0.288729112724569,-0.488729112724569,-0.138729112724569,0.211270887275431,0.028177218188577477
2021-06-25,-0.30561498847095897,-0.505614988470959,-0.15561498847095898,0.19438501152904103,-0.014037471177397454
2021-06-28,-0.28744891937667916,-0.48744891937667917,-0.13744891937667916,0.21255108062332084,0.03137770155830208
2021-06-29,-0.2990999956914018,-0.49909999569140184,-0.1490999956914018,0.2009000043085982,0.0022500107714954615
2021-06-30,-0.3010881913151864,-0.5010881913151864,-0.15108819131518642,0.1989118086848136,-0.002720478287966052
2021-07-01,-0.2973432404639188,-0.49734324046391876,-0.14734324046391878,0.20265675953608123,0.006641898840203039
2021-07-02,-0.28452042399188626,-0.4845204239918863,-0.13452042399188627,0.21547957600811374,0.03869894002028432
2021-07-06,-0.30138274699791645,-0.5013827469979164,-0.15138274699791646,0.19861725300208355,-0.003456867494791155
2021-07-07,-0.2985356219184516,-0.4985356219184516,-0.1485356219184516,0.2014643780815484,0.0036609452038709883
2021-07-08,-0.3031078212936478,-0.5031078212936477,-0.15310782129364775,0.19689217870635226,-0.007769553234119389
